postalcode,lat,lon
629802,8.2988,77.442
629501,8.9902,77.2776
342307,27.4121,72.2333
845104,25.5958,84.2137
782001,26.3044,91.1101
815312,24.2616,86.381
783384,26.3164,85.5634
586108,16.7099,76.3595
518573,17.0833,81.9
742121,23.7333,86.4
757105,24.4587,85.0446
450001,21.7368,75.7929
248199,22.93,79.5543
472221,25.0202,79.2318
571426,13.4946,76.034
743354,22.0849,88.4523
281404,29.8453,78.649
506349,17.3455,80.1981
757075,23.6575,82.6768
734429,26.6827,88.22
756027,22.6806,85.3902
822113,26.0789,80.2327
271801,27.5743,81.5959
444303,29.5913,77.7013
261135,26.7785,80.3571
626102,10.1123,78.2644
614903,10.4813,79.3968
176028,30.2914,75.2008
431703,22.4371,76.0129
759100,22.7082,82.4621
583122,15.5347,76.8756
785107,27.0535,93.1933
277001,28.0104,79.2648
203394,28.2138,78.8822
210001,25.3111,80.3882
754201,19.8472,85.2576
628903,10.4972,78.9239
272153,27.042,79.7658
143102,29.6738,75.4536
768016,21.5167,83.8667
263641,28.125,78.8301
391168,23.4212,73.8661
221713,25.6642,83.0126
423702,21.0519,76.5346
764076,23.8201,80.7819
573214,14.4194,77.1954
606402,12.1999,78.7949
786101,27.2851,95.2188
312601,23.5706,76.9261
501218,17.1836,78.3915
795102,24.5333,93.7302
495691,22.6086,82.5933
245101,28.8672,77.1103
185153,33.1073,74.489
127201,25.54,75.4991
508213,16.0773,79.184
581126,15.0863,75.2886
686143,9.7471,76.3952
382855,22.1501,85.5264
127306,28.5007,76.1276
248007,27.7946,79.4699
721133,22.133,87.0548
768045,21.6354,83.4457
248001,26.6409,78.5773
517213,13.82,78.8959
761201,21.646,80.7678
335523,29.1835,74.7705
606402,12.1999,78.7949
583236,16.2368,76.2459
524131,17.4403,81.1761
444401,21.1033,76.8571
394630,20.968,73.3084
524401,10.9577,78.0809
247772,29.3823,76.5486
481990,22.8142,79.6595
799045,22.361,87.6112
207245,27.9875,78.2686
401502,19.7986,73.094
423403,19.6096,74.5572
721303,22.7513,85.8987
811212,27.4189,81.2167
388543,22.4079,72.8982
209601,28.3663,76.8695
412219,18.4337,74.4637
636111,11.3818,79.0112
629704,11.2688,77.9471
416112,16.8882,74.2891
283204,25.6972,79.296
384315,23.6724,72.5824
322023,27.2487,74.7852
586203,17.2012,78.0076
335063,28.0955,75.1084
231211,24.7397,81.2701
502371,22.6703,88.2694
686577,20.5704,76.8794
485774,25.6412,77.4016
643202,11.3658,76.7586
466114,23.6119,76.4719
721504,22.5763,82.7413
242305,25.3784,80.7555
413319,17.3502,75.5541
392130,21.7119,72.5911
742135,24.9719,87.2921
143305,31.3619,74.6019
670706,12.5263,75.502
761215,19.1601,84.0613
741506,23.0248,87.8524
743378,28.6686,75.0321
285130,25.8692,79.3857
425105,21.2097,75.5187
534326,16.4697,81.5001
431701,18.2119,76.7194
614710,11.0622,78.404
224001,26.8152,80.6582
788118,22.9196,89.5081
495551,23.9068,80.2516
603104,12.6191,80.1942
341509,25.5389,74.4412
313331,24.0616,75.4066
822123,25.4898,83.5986
622503,11.5429,79.1887
243503,26.9067,79.0441
194401,34.7796,77.5395
389340,22.6616,73.1659
229306,24.3912,84.4363
276141,25.7632,83.8621
516126,13.8352,78.6339
523301,15.5611,80.1844
521120,16.5555,81.6157
396040,22.7314,73.8196
423301,21.3289,78.47
532290,18.7547,83.4519
209202,26.3351,77.6109
143022,13.1995,78.5157
582209,16.228,76.5918
577218,14.3048,76.5049
172025,31.4059,77.1231
305412,26.0618,75.3082
261501,26.8297,79.6071
484334,23.0241,81.5909
232108,26.2165,80.2294
175132,32.5951,77.0773
333516,27.7676,75.9863
305819,26.7497,74.7084
110009,28.6105,77.2329
501202,17.5198,78.2339
723156,23.5825,85.7894
670017,11.9,75.3667
134007,30.0073,76.5053
334803,27.1528,76.1188
626003,8.983,77.7855
561101,13.6189,77.3936
